ich,i,ja
sie,she,ona
das,the,-
ist,is,jest
du,you,ty
nicht,not,nie
die,the,-
es,it,to
und,and,i
der,the,-
wir,we,my
was,what,co
zu,to,do
er,he,on
ein,a,-
in,in,w
ja,yes,tak
mir,to me,dla mnie
mit,with,z
wie,how,jak
den,the,-
mich,me,ja
auf,on,na
dass,that,to
aber,but,ale
eine,one,jeden
so,so,więc
hat,has,ma
hier,here,tutaj
haben,have,posiadać
für,for,do
sind,are,czy
war,was,był
von,from,z
wenn,if,jeśli
dich,you,ty
ihr,her,jej
nein,no,nie
habe,have,posiadać
an,at,na
bin,am,jestem
noch,still,nadal
nur,only,tylko
da,there,tam
dir,to you,tobie
sich,itself,samo
einen,a,-
uns,us,nas
hast,have,posiadać
dem,to the,do
kann,can,móc
gut,good,dobry
auch,also,również
schon,already,już
als,as,jak
sein,be,być
mal,just,tylko
jetzt,now,teraz
ihn,him,jego
dann,then,następnie
aus,out of,poza
meine,think,myśleć
um,around,wokół
im,in the,w
wird,becomes,staje się
mein,my,mój
bist,are you,czy jesteś
doch,but,ale
alles,everything,wszystko
weiß,white,biały
keine,no,nie
oder,or,lub
nach,after,po
nichts,nothing,nic
man,man,człowiek
muss,must,musieć
werden,become,stać się
will,want,chcieć
ihnen,them,ich
geht,goes,wchodzi
wo,where,gdzie
etwas,something,coś
mehr,more,więcej
bei,at,na
also,so,więc
bitte,please,proszę
immer,always,zawsze
hab,have,posiadać
warum,why,dlaczego
vor,before,zanim
los,come on,pospiesz się
können,can,móc
wieder,again,ponownie
sagen,say,mowić
machen,make,robić
danke,thanks,dzięki
sehr,very,bardzo
alle,all,wszystko
denn,then,następnie
mann,man,człowiek
tun,do,do
ihm,him,jego
zum,for the,dla
gehen,go,iść
sehen,see,widzieć
vielleicht,perhaps,być może
einem,a,a
wer,who,kto
ihre,her,jej
diese,this,ten
euch,you,ty
einer,one,jeden
komm,come,przychodzić
über,above,powyżej
gibt,gives,daje
wissen,knowledge,wiedza
deine,your,twój
müssen,must,musieć
soll,should,powinien
werde,become,stać się
nie,never,nigdy
wirklich,really,naprawdę
kein,no,nie
viel,much,dużo
weg,away,z dala
würde,would,zrobiłbym
tut,does,robi
am,at the,na
des,of,z
einfach,simply,po prostu
leben,life,życie
hatte,had,miał
zeit,time,czas
weil,because,ponieważ
willst,want,chcieć
kommen,come,przychodzić
dein,your,twój
heute,today,dzisiaj
kommt,comes,pochodzi
wollen,want,chcieć
damit,with it,z tym
ganz,quite,całkiem
wäre,were,był
wollte,wanted,poszukiwany
weißt,white,biały
sicher,secure,bezpieczne
gesagt,said,powiedział
frau,woman,kobieta
nun,so,więc
bis,until,dopóki
wurde,became,stał się
leid,sorrow,smutek
kannst,can,móc
macht,might,móc
dieser,this,ten
zurück,return,powrót
lassen,permit,zezwolenie
hallo,hello,cześć
meinen,think,myśleć
gott,god,bóg
seine,his,jego
hätte,had,miał
zwei,two,dwa
könnte,could,mógł
genau,exactly,dokładnie
waren,were,był
zur,to the,do
lass,let,pozwalać
klar,clear,jasne
morgen,morning,poranek
leute,people,ludzie
vater,father,ojciec
schön,nice,ładny
glaube,believe,uważać
ab,away,z dala
gerade,straight,prosty
tag,day,dzień
gesehen,seen,widziany
reden,talk,rozmawiać
wohl,probably,prawdopodobnie
liebe,love,miłość
sollte,should,powinien
sagte,said,powiedział
unsere,our,nasz
jemand,someone,ktoś
geld,money,pieniądze
durch,through,poprzez
ob,if,jeśli
keinen,no,nie
mutter,mother,matka
raus,out,na zewnątrz
gemacht,made,zrobiony
paar,pair,para
mach,make,robić
passiert,happens,dzieje się
dachte,thought,myśl
besser,better,lepsza
musst,must,musieć
wieso,how come,dlaczego
sir,sir,pan
dieses,this,ten
selbst,self,samego siebie
gehört,heard,usłyszał
möchte,would like,chciałby
ohne,without,bez
hör,listening,słuchający
her,from,z
sag,say,mowić
meiner,mine,kopalnia
anderen,others,inni
helfen,help,pomoc
nacht,night,noc
finden,find,znajdować
diesen,this,ten
gute,good,dobry
wirst,become,stać się
lange,longing,tęsknota
natürlich,naturally,naturalnie
meinem,my,mój
gar,even,nawet
ins,into the,do
sei,may be,może
dort,there,tam
weiter,further,dalej
geben,give,dawać
seit,since,od
gleich,even,nawet
sagt,says,mówi
recht,right,prawidłowy
ihren,your,twój
richtig,correct,prawidłowy
ordnung,order,zamówienie
vom,from the,z
hören,hear,słyszeć
sieht,sees,widzi
davon,of that,tego
dafür,for this,dla tego
geh,walk,chodzić
diesem,this,ten
wegen,because of,z powodu
hause,home,dom
sollten,should,powinien
mädchen,girl,dziewczyna
hin,there,tam
sollen,should,powinien
abend,evening,wieczór
haus,a house,dom
denke,think,myśleć
viele,many,wiele
drei,three,trzy
deinen,yours,twój
freund,friend,przyjaciel
guten,good,dobry
unser,our,nasz
warte,wait,czekać
machst,do,do
menschen,people,ludzie
essen,eat,jeść
angst,fear,strach
bleiben,remain,pozostać
zusammen,together,razem
welt,world,świat
unter,under,pod
habt,have,posiadać
schnell,fast,szybko
andere,other,inny
tot,dead,martwy
getan,did,zrobił
darf,may,móc
erst,first,pierwszy
rein,pure,czysty
stimmt,is correct,jest poprawne
nehmen,take,brać
kinder,children,dzieci
eines,one,jeden
glauben,believe,uważać
bringen,bring,przynieść
ganze,entire,cały
genug,enough,wystarczająco
scheiße,fuck,pierdolić
brauchen,need,potrzebować
gegen,against,przeciwko
moment,moment,za chwilę
junge,young,młody
steht,stands,stoi
sonst,otherwise,w przeciwnym razie
musik,music,muzyka
arbeit,work,praca
seid,are,czy
ihrer,of their,z ich
fragen,questions,pytania
herr,mr,pan
dabei,included,dołączony
heißt,is called,jest nazywany
familie,family,rodzina
warten,wait,czekać
niemand,no one,nikt
sofort,immediately,natychmiast
bevor,before,zanim
jahre,years,lata
einmal,once,raz
problem,problem,problem
sohn,son,syn
wann,when,gdy
brauche,need,potrzebować
fertig,complete,kompletny
halt,just,tylko
allein,alone,sam
beim,at the,na
sprechen,speak,mówić
beide,both,zarówno
gefunden,found,znaleziony
hatten,had,miał
sache,matter,materiał
hilfe,help,pomoc
verdammt,damned,cholernie
jeder,everyone,wszyscy
warst,beings,istoty
gern,gladly,ochoczo
konnte,could,mógł
darüber,about it,o tym
halten,hold,trzymać
siehst,see,widzieć
verstehe,understand,zrozumieć
jahren,years,lata
kam,came,wszedł
kind,child,dziecko
wusste,knew,wiedziałem
wahr,true,prawda
seinen,his,jego
dazu,in addition,ponadto
bruder,brother,brat
daran,to it,do tego
ihrem,hers,jej
denken,think,myśleć
könnten,might,móc
dank,thanks to,dzięki
würden,would,zrobiłbym
lieber,dear,droga
fall,case,sprawa
deiner,yours,twój
sehe,see,widzieć
egal,doesn't matter,nie ma znaczenia
kennen,know,wiedzieć
deinem,yours,twój
vergessen,forget,zapominać
frage,ask,zapytać
mache,make,robić
komme,come,przychodzić
sage,legend,legenda
mag,like,tak jak
sieh,see,widzieć
echt,really,naprawdę
gib,give,dawać
eigentlich,actually,właściwie
jeden,every,każdy
dad,dad,tata
gab,gave,dał
uhr,clock,zegar
stadt,city,miasto
männer,men,mężczyźni
baby,infant,dziecko
fahren,drive,prowadzić
namen,names,nazwy
bekommen,receive,odbierać
kopf,head,głowa
hi,hi,cześć
gehe,go,iść
kleine,small,mały
später,later,później
glück,happiness,szczęście
letzte,last,ostatni
freunde,friends,przyjaciele
all,alles,allles
darauf,on it,na tym
ende,end,koniec
bald,soon,wkrótce
töten,kill,zabić
dinge,things,rzeczy
meinst,mean,mieć na myśli
toll,great,świetnie
eins,one,jeden
minuten,minute,minuta
vielen,many,wiele
bereit,ready,gotowy
weit,far,daleko
ahnung,idea,pomysł
seiner,his,jego
bisschen,a little,trochę
tür,door,drzwi
auto,automobile,samochód
jungs,guys,chłopaki
eure,your,twój
augen,eyes,oczy
polizei,police,policja
stehen,stand,podstawka
sterben,die,umierać
hätten,have,posiadać
draußen,outside,poza
kenne,know,wiedzieć
fast,nearly,prawie
runter,down,w dół
vorbei,over,nad
treffen,meet,poznać
gerne,gladly,ochoczo
dran,your turn,twoja kolej
wurden,became,stał się
arbeiten,work,praca
mom,mom,mama
verrückt,crazy,zwariowany
neue,new,nowy
ging,went,wszedł
hinter,behind,za
sorgen,care for,opiekować się
einzige,only,tylko
jemanden,someone,ktoś
darum,therefore,w związku z tym
tochter,daughter,córka
braucht,needs,wymagania
idee,idea,pomysł
schwester,sister,siostra
drin,in it,w tym
ruhig,quiet,cichy
sah,saw,piła
ganzen,entire,cały
spät,late,późno
ziemlich,quite,całkiem
solltest,should,powinien
name,surname,nazwisko
sogar,even,nawet
kurz,short,krótki
kerl,guy,facet
frauen,women,kobiety
liegt,lies,kłamstwa
suchen,seek,szukać
finde,find,znajdować
je,ever,kiedykolwiek
woher,from where,skąd
lang,long,długi
job,job,stanowisko
keiner,none,nic
seinem,his,jego
hört,hear,słyszeć
verstehen,understand,zrozumieć
spielen,play,grać
überhaupt,at all,w ogóle
teufel,devil,diabeł
verstanden,understood,zrozumiany
verloren,lost,zaginiony
große,size,rozmiar
hand,hand,ręka
grund,ground,grunt
jahr,year,rok
kommst,come,przychodzić
mama,mummy,mumia
ruhe,quiet,cichy
gewesen,been,został
tod,death,śmierć
stunden,hours,godziny
hoffe,hope,mieć nadzieję
denkst,thinking,myślący
oben,above,powyżej
gestern,yesterday,wczoraj
versuchen,attempt,próba
art,kind,uprzejmy
letzten,last,ostatni
schatz,treasure,skarb
endlich,finally,wreszcie
he,hey,hej
nimm,take,brać
etwa,approximately,około
erzählt,told,powiedział
läuft,runs,bierze
schwer,difficult,trudny
anders,different,różny
miss,miss,chybić
musste,had to,musiałem
fünf,five,pięć
wasser,water,woda
lässt,leaves,liście
erste,first,pierwszy
versucht,tried,wypróbowany
gekommen,came,wszedł
geschichte,story,fabuła
wenig,few,kilka
holen,fetch,aportować
bedeutet,means,oznacza
nett,kind,uprzejmy
wahrheit,truth,prawda
woche,week,tydzień
bringt,brings,przynosi
deshalb,for this reason,z tego powodu
welche,which,który
bestimmt,certainly,z pewnością
hoch,high,wysoki
alter,age,wiek
sagst,say,mowić
schau,look,patrzeć
land,country,kraj
zimmer,room,pokój
wagen,car ,samochód
vier,four,cztery
gefallen,please,proszę
spaß,fun,zabawa
niemals,never,nigdy
schuld,fault,wada
getötet,killed,zabity
wollten,wanted to,chciał
verlassen,leave,zostawić
zeigen,show,pokazywać
beste,best,to co najlepsze
ernst,serious,poważny
unserer,ours,nasz
denen,whom,kogo
ort,location,lokalizacja
bleibt,remains,pozostaje
würdest,would,zrobiłbym
manchmal,sometimes,czasami
glaubst,believe,uważać
seite,page,strona
lasst,leaves,liście
zwischen,between,między
eben,even,nawet
